Servis Hizmeti,5 sene önce beko'dan b9479 nexn model buzdolabı satın aldık. bundan 5 ay önce soğutma arızası verdi. yetkili servisi çağırdık. yağ değişimi yapılacağı söylendi ve garanti süresi bittiği için bu servis karşılığında ücret ödedik. ancak 2 hafta sonra tekrar arıza verdi. bu sefer gövde kaçağı olduğunu söyleyip tekrar işlem gördü ve gaz basıp gövde testi yapıp ürünü tamir ettiklerini söylediler.yaklaşık 1 ay sonra tekrar arıza verince bu sefer motorun yandığını söyleyip 3300 ₺ karşılığında motor değiştirdik. 15 ay içinde ürün tekrar arıza verdi ve şu an da ürünün yenisi ile değiştirilmesi için benden 11140 ₺ ücret talep edilmekte. yenisi ile değiştirilmesi gereken bir ürün için son 5 ay içinde neden bizden bir sürü ücret talep edildi. ödediğimiz servis ücretleri çöpe mi gidecek? her zaman müşterilerini mağdur eden bir firma.
Servis Hizmeti,beko bulaşık makinesi aldım 1 ay olmadı daha kurutma yapmıyor. 3 kez servis geldi bana dediği şey kurutma yapmaması normalmiş kapağını açacakmışım kurutmuş. ekstra kurutma yapıyorum hala kurutmuyor ve beko ısrarla değişim veya iade almıyorlar şikayet ediyorum. 20 günlük cayma hakkımın gününü geçiriyorlar. ben hakkımın olanı almak istiyorum artık iade edilsin değişimde istemiyorum.
Servis Hizmeti,beko 32 inc televizyonum sıralamış olduğum kanal listesini ayarladıktan yarım saat sonra kendi kendine kanal listelerini değiştiriyor... televizyonumuzu kaç defa tekrar sıralama yaptık. tekrardan kendi kendine değişti. daha önce bunun için teknik servise de göndermiştik bir süre sorun hallolmuştu fakat şu an da tekrarlamaya başladı.
Servis Hizmeti,beko bulaşık makinesi aldığımız günden beri sorunlu. bulaşıklar güzel yıkanmıyor ve sürekli p1 p2 arızası veriyor. program seçemiyorum. ve altından su akıtıyor. bir kere servis çağırdım sorun çözülmedi. şu anda da garanti kapsamı dışında. verdiğimiz para boşa gitti resmen.
Servis Hizmeti,27 ocak'ta beko tv cristal 50 inç tv aldım. modeli falan hatırlamıyorum zaten önemi yok. bu tv'de saçma bir lekelenme var. asla ne değişim ne onarım gibi bir derdi yok firmanın. gelen ekip baktı baktı gitti. geniş geniş açmıyoruz tv'yi bakıyoruz ekrana denk gelirse diyor. üstüne probleme bir tanım koyamadı. yani ilk defa denk geliyorlarmış. i̇lk defa denk geliyorsan problem benden kaynaklı değildir herhalde. benim kaydettiğim görüntüyü de kanıt olarak saymıyor. sırf sözde yetkili servisin tavrı için bile tüketici hakları'na götüreceğim bu problemi.
Arızalı Ürün,beko buzdolabım ile ilgili yaşamış olduğum sorunu defalarca bildirdim ama nafile ne yaptıysan size dinletemedim garanti süresinde fitil değişti ekran değişti üst kapak değişti değişen üst kapak markasız alt kapak ile rendi aynı değil motoru değişti yoğuşma kabı değişti son olarak siirt servisiniz arıza giderildi dediği gün kurtalan servisinizde kayıt oluşturdum.motor arızalı panel tıkalı sonuç itibariyle şu an dolapsızım bu ramazan ayında bir müşteri bu kadar da mağdur edilemez şu an dolabım atölyenizde siirt şubenizin mağduriyet politikası suçu olmayan işini layıkıyla yapan kurtalan şubenize patladı sizden rica ediyorum buzdolabımın değişim hakkının arızasını saklayarak bana yardımcı olmayan siirt şubesince yapılmasını istiyorum onlar beni mağdur etti.
Servis Hizmeti,klima arızası oluştu aldılar bende klimayı sözde yaptılar 3 gün klima bende kalıyor 4 gün serviste kalıyor. benden çok fazla kullanıyorlar mübarekler. toplamda benden aldıkları para 3200₺. şimdi de diyor 4500₺ daha ver şu parçalıda değiştirelim belki arıza oradadır. benden aldığın paralar boşa gitti o zaman. becerisizliklerini benim klima da deniyorlar.viranşehir arçelik ® beko (evser) servisinde şikayetçiyim. klimam hala aromalı duruyor.
Servis Hizmeti,almış olduğum beko çamaşır makinesi 1 senedir program bitene kadar 4-5 defa kendi kendine pause oluyor. başlatıyoruz bir süre sonra pause oluyor. servisle görüştüm bana yazılım sorunu olduğunu ana kartın değişmesi gerektiğini söyledi. donanım arızasını geçtik bir de yazılım sorunu çıktı başımıza. 10 yıl motor garantisi veren firma yazlımı'na garanti veremiyor 6 yıl sonra yazılım atamadıkları için kart değişimi yapmam gerekiyor.
Servis Hizmeti,gaziantep'te deprem nedeniyle düşen ve ekranı kırılan beko marka televizyonum için servisi aradım 3-4 defa konuşmama rağmen depremde zarar gören eşyalar için çalışma olabilir bekleyin servis arayacak dendi. en son olan konuşmamda öyle bir şey olmadığını belediyeye başvurmam söylendi. bir buçuk ay bekletip ücretsiz onarım olmayacağını söylediler. anlayacağınız yalnızca beklettiler. eşyalarımın hepsi beko arçelik ®. bir türk firması olarak ücretsiz onarım veya indirimli onarım beklerdim hayal kırıklığına uğrattılar.
Müşteri Hizmetleri,ağrı merkez bayiden. beko73 61 nfb model sıfır derin dondurucu aldım. ürünü yarın teslim ederim dedi işte olduğum için eşim aldı ürünü. eve ® geldiğimde ürün gözüme kullanılmış gibi geldi. dikkatlice baktım üründe deformeler vardı çizikler vardı. yani teşhir ürünü yollamıştı.tekrar bayiyi aradım bana teşhir ürünü mü yolladın diye sordum. açıklaması stokta ürün olmadığı için dükkandaki teşhir ürününü yolladığını söyledi. benim bilgim olmadığını ve bunu nasıl yolladığını sorduğunda hemen değiştiriyoruz sipariş giriyorum gibi cümleler kullandı. direkt bayiye gittim. bayiye gittiğimde ise bana neden sıfır ürün vermediğini bana ikinci el ürün neden verildiğini sordum. açıklaması ürün ikinci elde değil. yani özrü kabahatinden daha büyük bir özür bile dilemedi yani.müşteri hizmetlerini aradım müşteri hizmetleri ile görüştüm. ürünü pazartesi sipariş vereceğini söylediler. yani buradaki önemli olan ürünü göndermesi değil neden böyle bir şey yapıldı. başka bir kişilere de böyle yapıldı mı diye bir sorgularım yani. beko gibi büyük bir markanın böyle insanlara nasıl bayilik verdiğini de anlamış değilim. bir an önce ürünün bana ulaşmasını istiyorum. bayi ile görüştüğümde ise stokta varsa sipariş edeceğini söyledi stokta yok ise ben ürünü bekleyecek miyim? üst modelinin yollamasını istiyorum.
Servis Hizmeti,440161134 numaralı servis talep ile ilgili şikayetim var ®. hatay'da depremden dolayı buzdolabım hasar gördü. gelen servis kayıtsız bir şekilde ilgilenmeden direk garantisi olduğu halde 450 tl masraf çıkarttı. i̇nsanların bu zor günlerinde yardım edeceğine daha da mağdur ettiniz. diğer firmalar direk değişim yapıyorlar ya da mağdur etmeden çözüm sunuyorlar. bir dünya markası olan beko müşterisini ciddiye bile almıyor. ayıp denen bir şey var.
Arızalı Ürün,daha önce de beko ile ilgili şikayette bulunmuştum verdikleri çamaşır makinesi düzen tutmuyor banyoda sağa sola geziyor bir üst modelini verdiler. sonra yine aynı makine geziyor ve sağında solunda çürümeler boya atmaları rahatsız edici sesler çıkmaya başladı. makine sıkmaya gelince üzerine bastırıyoruz yerinden oynamasın diye servis çağırdık dediği kelimeyi aynen aktarıyorum ne bekliyorsunuz abi şimdi çıkanların hepsi teneke gibi ince saç dediler ve çamaşırın kilosuyla ilgili gezinme dediler. daha önceki servis gibi yani hiçbir zaman üretici hatası olmuyor ne hikmetse hatayı hep tüketiciye buluyorlar.televizyon aldım 2 tane birini neredeyse 7/24 kullanıyorum hiçbir şey yok diğeri misafir odasında 2.5 sene içinde en fazla 4 ay kullanılmıştır oda sürekli kullanım değil kartı değişecek fiyatı 4500 tl dediler.sebil aldım eve ® geldiği gün arızalı çıktı değişim yaptılar buzdolabı aldım garantinin bitimine bir gün kala arıza yaptı ben eski beko'yu arar oldum bu yeni model beko'dan nefret etmeye başladım ya kardeşim ne aldıysam ya garanti bittikten sonra ya başında ya da bitimine doğru arıza veriyor. verdiğimiz paraları çöpten toplamıyoruz.eğer ki 2 sene veya garanti bitiminden sonra beyaz eşyalar bozuluyorsa sorumlusu beko'dur ben satın alırken iki sene garantiyle alıyorum iki sene sonra bozulacak bir beyaz eşyaya neden para vereyim servis bir gün önce 1750 tl fiyatı var dediği televizyona bir gün sonra evime gelip 4500 tl masraf var diyor hep çelişki.bu hususu gerekirse tüketici hakem heyeti ®'ne gerekirse adlı mercilere taşıyacağım kendi kendime tık oldum acaba sırada hangi beyaz eşyam var bozulacak düşünmeden edemiyorum beko'nun bu kadar kendini kalitesini düşüreceği aklıma gelmezdi ama şu an benim gözümde yerlerde sürünüyor bana sorsalar bir daha beko kullanır mısın asla kapıdan içeri sokmam. beko mağazası olan yerden de geçmem çözüm odaklı değil beko'nun yaptığı tüketiciyi resmen mağdur etmek bozulsun yenisini alsın mantığı işliyor kafalarında.
