Müşteri Hizmetleri,henüz daha alalı üç sene olan 283720mb modelli arçelik buzdolabımızdan aldığımızdan beri lastik kokusu bir türlü gitmedi. şimdi de buzdolabının üst soğutucu kısmı çalışmıyor. tüm yiyeceklerimiz bozuldu. mağdur olduk. arçelik servisini aradık ve geldiler.buzdolabını götürüp tamir edeceklerini söylediler. henüz 3 sene olan buzdolabının nasıl hemen motoru bozulabilir? arçelik kalitesine yakışmadı. değişim veya para iadesi istedik. fakat müşteri hizmetleri hiç ilgili değildi ve kabul etmediler. acilen bir geri dönüş istiyoruz.
Servis Hizmeti,arçelik buz 2580 cei buzdolabı 5. yılında üst bölmesi soğutmamaya başladı servis geldi buzdolabı servise gideceği söylendi cihaza bağlanacakmış motor bozuk olabilirmiş 4800 ₺ motor değişim 600 ₺ servise gitme bedeli biz yapamazsak fabrikadan yarı fiyatına değişim olur dediler ücreti 5 yıllık dolap ® resmen çöp oldu. arçelik ürünü bir daha evime sokmam 4-5 yılda bir dolap mı alacağım.
Müşteri Hizmetleri,1 buçuk sene önce aldığımız çamaşır makinesini aldığımız günden itibaren şikayetleri artarak devam etti. sıkmaya geçerken aşırı sarsıntı ve ses oluyordu. i̇lk çağırdığımız servis elemanı dengesizlik olduğunu söylenip ayağının değişmesi gerektiğini söyledi ve bize ayak aldırdı. aynı şikayet devam etti yine çağırdık bu sefer yayının değişmesi gerektiğini söyledi onu da değiştirdiler. biraz zaman geçince tekrar aynı şikayet devam etti bu sefer filtresini temizlememiz gerektiğini söyledi. onu da yaptık. 4. defa aradığımız da servis gelip baktı. daha önce çekmiş olduğumuz videoyu izleyip bu sarsıntının normal olduğunu söyledi. biz ısrarla makinenin değiştirilmesi gerektiğini söyledik ve biraz daha üsteleyince komik bir çözüm bulup sacı paslanmış ve gövdesinin değiştirilmesi gerektiğini ince sacı değiştirip kalın sacla değiştirileceğini söyledi. ona da tamam dedik 2 3 gün sonra geldi makine yine aynı problem devam ediyordu. bu sefer şikayetimizi bildirip bundan sonra tamir istemediğimiz makinenin değişmeyen parçasının kalmadığını 1 buçuk senelik makinenin bu kadar problem çıkarmaması gerektiğini artık tamir kabul etmeyip değişim talebi oluşturulması gerektiğini söyledik. bize tekrardan değişim olup olmaması için başka bir teknisyen göndereceklerini söylediler. gönderdikleri eleman yine makineyi çalıştırın bakmak istedi tamam dedik. çalıştırdı bunda bir problem yok deyip geri gitti sizin değişim talebinizi bildireceğim dedi. biz şu ana kadar yapılan bütün işlemlerin dokümanını istedik servise gelip oradan alın deyip bize saygısızca trip attı. sonra yine arayınca değişim talep ettiğimizi bildirmemiş gelen yetkili servis elemanı. tekrardan müşteri hizmetlerini aradığımızda öyle bir talebimizin olduğundan haberi yokmuş gibi başka bir eleman göndereceklerini bu sefer değişim talebi oluşturmaya geleceklerini söyledi müşteri hizmetleri. birkaç gün sonra başka bir eleman gelip tamir için geldiğini ben asla tamir kabul etmediğimi söyleyince ben tamir için geldim etmeyeceksem burda isim ne deyip saygısızca çekip gitti. hala bir çözüm bulunamadı. bütün beyaz eşya ve küçük aletleri arçelik diğer eşyalardan memnundum. fakat şunu belirteyim müşteri memnuniyeti sıfır çözüm odaklı değiller ürünlerini arkasında değiller oyalıyorlar ve hizmet desen 0. benim gözümde artık arçelik bitmiştir. yazıklar olsun verdiğim paraya. oysaki ben türk üretimi olduğu için tercih etmiştim arçelik'i ama artık gözümde bitmiştir.
Servis Hizmeti,buhar özelliği var diye araştırarak aldığımız arçelik 940 kmı kurutma makinesi buhar değil su püskürtüyor. buhar özelliğini aktive ettiğimizde 3 saat boyunca kuruttuğu çamaşırların üzerine son 5 dakika su püskürterek ıslatıyor ve ıslak olarak çamaşırları çıkartıyorsunuz. giyime hazır diye isimlendirdikleri ve satıcının ütülenmiş gibi çıkartır direkt giyersiniz dediği program gömleği sırılsıklam çıkartıyor. hatta buharlı tazeleme dediği programda çamaşırı kuru olarak atıyor yarım saat sonra ıslak olarak alıyorsunuz. yani makine kurutma değil ıslatma makinesi.servis çağırdım ve gelen servis makinede sorun olmadığını zaten buhar değil su püskürtmesi gerektiğini söyleyip gitti.
Servis Hizmeti,ağustos ayında arçelik'ten aldığım 7262420493 574560 eı buzdolabı 3. senesinde ünlem işareti hatası veriyor. 3 kez servis çağırdım gelen düzeltiyor 2 gün sonra yine aynı. servis fişlerini kontrol ettiğimde ikisinde bir arıza olmadığını belirtmişler. arıza olmasa servis i niye çağıralım. bir de aynı sorunda olursa arçelik mi tövbe kapıdan sokmam.
Servis Hizmeti,2021 yılı temmuz ayında arçelik bulaşık makinesi aldım. ürünü 1.5 yıldan uzun süredir kullanıyorum. ama son 2 aydır bulaşıklarda kalıntı bırakıyor. servisi aradım geldi tuzu senede 1 koy çok sık koyma dedi gitti bu sorunu çözmede tekrar aradım yine geldiler deterjanı boşa atın dediler gittiler sorun hala düzelmedi.3. kez yine geldi servis şeffaf kapakla çalıştırdı. pervaneler dönüyor su alıyor su ısıtıyor teknik olarak sorun yok hangi deterjan kullanıyorsunuz dediler pril ® gold finish ® ve fairy ® dönüşümlü dedim. fairy kullanın yeni makineler sert deterjanla olmuyor denildi teknik olarak makinin sorunu yok biz bir şey yapamıyoruz.tamam teknik olarak sorun olmayabilir ama kullanıcı olarak yıkanmayan bulaşıklarım var her seferinde çıkardığımın yarısının elimde yıkayacaksam makine neden var. yaklaşık 1 hafta fairy kullandım hiçbir değişiklik olmadı arçelik sayfasına yazdım yine servis aradı bu sefer dalga geçer gibi finish kullanın fairy değil dedi.dedim dalga mı geçiyorsunuz hanımefendi teknik olarak sorun yok ama dedim yıkamıyor hayatımda ilk defa bulaşık makinesi kullanmıyorum 1.5 yıldır sorun yok sorun başladı ise problem var ve çözmüyorlar. tüketici mahkemesi'ne gibin deniyor bu kendileri için kolay olan ama satarken böyle bir şey yok. makinemdeki sorunun acilen giderilmesini ve gerekiyorsa değişimi için gereğinin yapılmasını rica ediyorum.zeliha e--
Servis Hizmeti,almış olduğum 2 adet arçelik tm 6006 tost makinesini belli zaman aralıklarıyla bozulduğu için servise gönderdim. tost makinesinin birini tamiri yapılamayacağı için bir üst model ile değişim sağlandı şu an kullanımda herhangi bir sorun yoktur aynı model diğer tost makinesinin 4 defa on off tuşu bozulmuş olup sürekli tamiri yapılmakta ancak ardından tekrar bozulmaktadır. en son olarak servise gönderdiğimizde 1560 lira karşılığında değişim yapılacağı belirtildi. tost makinesinin bozulması benim hatam değildir. tost makinesinin kullanılabilir ve bozulmayacak halde tamirinin yapılmasını istiyorum veya yenisiyle ücretsiz değişimin yapılmasını istiyorum. gerekli hizmet verilmezse tüketici hakem heyeti ®'ne başvuracağım. talep takip no 439720047.
Servis Hizmeti,arçelik 26 şubat'tan beri ücret iademi yapmıyor trendyol ®'dan küçük ev aleti aldım arçelik bozuk gönderdiler yetkili servisi aradım ürünü gelip aldılar fakat aradığımda hiçbir bilgi vermiyorlar. bir aydır iademi yapmıyorlar en sonunda şikayetçi olacağım hem bozuk ürün hem bir aydır ödeme yapılmasın pişmanlık resmen.
Servis Hizmeti,beyazeşya fırsatı sitesinden arçelik 6144 model bulaşık makinesi aldım 14 gün kullandım tüm deterjanları denedik ancak bulaşıklarda şu birikintisi bırakıyor hem de yıkamasından memnun kalmadık iade için beyaz eşya fırsatı müşteri temsilcisi ile görüştük onlar arçelik servisi kabul ederse biz iade alırız diyorlar ancak arçelik servisi bulaşık makinesinde iade yoktur diye kabul etmiyor.
Servis Hizmeti,yaklaşık 4 ay önce aldığım arçelik 9961 kahve makinem kahve kafasına göre ya pişiriyor ya pişirmiyor. bozuk yani. 1 haftadır da serviste aranıp yapıldığı iletiliyor ben de bu yüzyılda cezvede kahve pişirmeye uğraşıyorum bana sorunlu ürün satılmış yeni ile değişim yapılmasını istiyorum. aksine daha yeni makinem çiziksiz nasıl gelecek endişesindeyim.
